Address,Date,Guest_review,Hotel_name,Max_price,Price,Star_rating
"776 Boylston St,Boston,MA",01-Dec,4.3,Mandarin Oriental Boston,"Rs43,885","Rs40,677",5 stars
"70 Rowes Wharf,Boston,MA",01-Dec,4.8,Boston Harbor Hotel,"Rs21,787","Rs19,547",5 stars
"215 Charles St,Boston,MA",01-Dec,4.5,"The Liberty, a Starwood Luxury Collection Hotel, Boston","Rs36,343","Rs15,929",5 stars
"200 Boylston St,Boston,MA",01-Dec,4.4,Four Seasons Hotel Boston,"Rs48,436","Rs40,634",5 stars
"510 Atlantic Ave,Boston,MA",01-Dec,4.6,InterContinental Boston,"Rs12,157","Rs12,157",5 stars
"15 Beacon St,Boston,MA",01-Dec,4.6,Fifteen Beacon,"Rs48,436","Rs28,064",5 stars
"10 Avery St,Boston,MA",01-Dec,4.2,"The Ritz-Carlton, Boston","Rs64,691","Rs29,582",5 stars
"3 Battery Wharf,Boston,MA",01-Dec,4.4,"Battery Wharf Hotel, Boston Waterfront","Rs15,776","Rs13,348",4.5 stars
"15 Arlington St,Boston,MA",01-Dec,4.5,Taj Boston,"Rs20,090","Rs18,081",4.5 stars
"250 Franklin St,Boston,MA",01-Dec,4.7,"The Langham, Boston","Rs18,139","Rs16,325",4.5 stars
"500 Commonwealth Ave,Boston,MA",01-Dec,4.6,Hotel Commonwealth,"Rs24,641","Rs14,238",4.5 stars
"One Bennett Street,Boston,MA",01-Dec,4.5,The Charles Hotel,"Rs18,915","Rs16,971",4 stars
"89 Broad St,Boston,MA",01-Dec,4.3,Hilton Boston Downtown/Faneuil Hall,"Rs25,941","Rs12,288",4 stars
"26 North St,Boston,MA",01-Dec,4.5,The Bostonian Boston,"Rs22,177","Rs15,155",4 stars
"40 Edwin H. Land Boulevard,Boston,MA",01-Dec,4.5,Royal Sonesta Boston,"Rs25,397","Rs11,256",4 stars
"606 Congress St,Boston,MA",01-Dec,4.3,Renaissance Boston Waterfront Hotel,"Rs24,641","Rs8,582",4 stars
"1 Court Street,Boston,MA",01-Dec,4.3,"The Ames Boston Hotel, Curio Collection by Hilton","Rs42,656","Rs13,985",4 stars
"70 Sleeper Street,Boston,MA",01-Dec,4.4,"The Envoy Hotel, Autograph Collection","Rs30,493","Rs12,939",4 stars
"100 Stuart Street,Boston,MA",01-Dec,4.3,W Boston,"Rs13,595","Rs13,593",4 stars
