Address,Date,Guest_review,Hotel_name,Max_price,Price,Star_rating
"776 Boylston St,Boston,MA",30Nov,4.3,Mandarin Oriental Boston,"Rs45,722","Rs45,722",5 stars
"70 Rowes Wharf,Boston,MA",30Nov,4.8,Boston Harbor Hotel,"Rs26,974","Rs24,202",5 stars
"215 Charles St,Boston,MA",30Nov,4.5,"The Liberty, a Starwood Luxury Collection Hotel, Boston","Rs36,343","Rs16,189",5 stars
"200 Boylston St,Boston,MA",30Nov,4.4,Four Seasons Hotel Boston,"Rs48,436","Rs42,585",5 stars
"510 Atlantic Ave,Boston,MA",30Nov,4.6,InterContinental Boston,"Rs14,888","Rs14,888",5 stars
"15 Beacon St,Boston,MA",30Nov,4.6,Fifteen Beacon,"Rs48,436","Rs34,370",5 stars
"10 Avery St,Boston,MA",30Nov,4.2,"The Ritz-Carlton, Boston","Rs64,691","Rs38,034",5 stars
"3 Battery Wharf,Boston,MA",30Nov,4.4,"Battery Wharf Hotel, Boston Waterfront","Rs14,888","Rs12,655",4.5 stars
"138 Saint James Ave,Boston,MA",30Nov,4.6,"Fairmont Copley Plaza, Boston","Rs34,393","Rs29,234",4.5 stars
"15 Arlington St,Boston,MA",30Nov,4.5,Taj Boston,"Rs16,189","Rs14,570",4.5 stars
"61 Exeter Street,Boston,MA",30Nov,4.7,The Lenox Hotel Boston,"Rs41,935","Rs36,733",4.5 stars
"250 Franklin St,Boston,MA",30Nov,4.7,"The Langham, Boston","Rs19,439","Rs17,496",4.5 stars
"500 Commonwealth Ave,Boston,MA",30Nov,4.6,Hotel Commonwealth,"Rs24,641","Rs20,740",4.5 stars
"One Bennett Street,Boston,MA",30Nov,4.5,The Charles Hotel,"Rs22,078","Rs19,809",4 stars
"89 Broad St,Boston,MA",30Nov,4.3,Hilton Boston Downtown/Faneuil Hall,"Rs25,941","Rs16,839",4 stars
"26 North St,Boston,MA",30Nov,4.5,The Bostonian Boston,"Rs22,177","Rs15,740",4 stars
