Address,Date,Guest_review,Hotel_name,Max_price,Price,Star_rating
"70 Rowes Wharf,Boston,MA",29Nov,4.8,Boston Harbor Hotel,"Rs32,161","Rs28,856",5 stars
"70 Rowes Wharf,Boston,MA",30Nov,4.8,Boston Harbor Hotel,"Rs26,974","Rs24,202",5 stars
"70 Rowes Wharf,Boston,MA",01-Dec,4.8,Boston Harbor Hotel,"Rs21,787","Rs19,547",5 stars
"70 Rowes Wharf,Boston,MA",2Dec,4.8,Boston Harbor Hotel,"Rs23,724","Rs21,352",5 stars
"70 Rowes Wharf,Boston,MA",3Dec,4.8,Boston Harbor Hotel,"Rs23,083","Rs20,711",5 stars
"70 Rowes Wharf,Boston,MA",4Dec,4.8,Boston Harbor Hotel,"Rs28,271","Rs25,365",5 stars
"70 Rowes Wharf,Boston,MA",5Dec,4.8,Boston Harbor Hotel,"Rs30,864","Rs27,692",5 stars
"70 Rowes Wharf,Boston,MA",6Dec,4.8,Boston Harbor Hotel,"Rs30,864","Rs27,692",5 stars
"70 Rowes Wharf,Boston,MA",7Dec,4.8,Boston Harbor Hotel,"Rs29,308","Rs26,296",5 stars
"70 Rowes Wharf,Boston,MA",8Dec,4.8,Boston Harbor Hotel,"Rs29,308","Rs26,296",5 stars
"215 Charles St,Boston,MA",29Nov,4.5,"The Liberty, a Starwood Luxury Collection Hotel, Boston","Rs36,343","Rs23,730",5 stars
"215 Charles St,Boston,MA",30Nov,4.5,"The Liberty, a Starwood Luxury Collection Hotel, Boston","Rs36,343","Rs16,189",5 stars
"215 Charles St,Boston,MA",01-Dec,4.5,"The Liberty, a Starwood Luxury Collection Hotel, Boston","Rs36,343","Rs15,929",5 stars
"215 Charles St,Boston,MA",2Dec,4.5,"The Liberty, a Starwood Luxury Collection Hotel, Boston","Rs36,343","Rs15,929",5 stars
"215 Charles St,Boston,MA",3Dec,4.5,"The Liberty, a Starwood Luxury Collection Hotel, Boston","Rs36,343","Rs11,378",5 stars
"215 Charles St,Boston,MA",4Dec,4.5,"The Liberty, a Starwood Luxury Collection Hotel, Boston","Rs36,343","Rs22,690",5 stars
"215 Charles St,Boston,MA",5Dec,4.5,"The Liberty, a Starwood Luxury Collection Hotel, Boston","Rs36,343","Rs24,641",5 stars
"215 Charles St,Boston,MA",6Dec,4.5,"The Liberty, a Starwood Luxury Collection Hotel, Boston","Rs36,343","Rs23,080",5 stars
"215 Charles St,Boston,MA",7Dec,4.5,"The Liberty, a Starwood Luxury Collection Hotel, Boston","Rs36,343","Rs15,539",5 stars
"215 Charles St,Boston,MA",8Dec,4.5,"The Liberty, a Starwood Luxury Collection Hotel, Boston","Rs36,343","Rs15,539",5 stars
"200 Boylston St,Boston,MA",29Nov,4.4,Four Seasons Hotel Boston,"Rs47,136","Rs47,136",5 stars
"200 Boylston St,Boston,MA",30Nov,4.4,Four Seasons Hotel Boston,"Rs48,436","Rs42,585",5 stars
"200 Boylston St,Boston,MA",01-Dec,4.4,Four Seasons Hotel Boston,"Rs48,436","Rs40,634",5 stars
"200 Boylston St,Boston,MA",2Dec,4.4,Four Seasons Hotel Boston,"Rs48,436","Rs40,634",5 stars
"200 Boylston St,Boston,MA",3Dec,4.4,Four Seasons Hotel Boston,"Rs48,436","Rs40,634",5 stars
"200 Boylston St,Boston,MA",4Dec,4.4,Four Seasons Hotel Boston,"Rs48,436","Rs42,585",5 stars
"200 Boylston St,Boston,MA",5Dec,4.4,Four Seasons Hotel Boston,"Rs48,436","Rs42,585",5 stars
"200 Boylston St,Boston,MA",6Dec,4.4,Four Seasons Hotel Boston,"Rs48,436","Rs48,436",5 stars
"200 Boylston St,Boston,MA",7Dec,4.4,Four Seasons Hotel Boston,"Rs48,436","Rs42,585",5 stars
"200 Boylston St,Boston,MA",8Dec,4.4,Four Seasons Hotel Boston,"Rs48,436","Rs42,585",5 stars
"10 Avery St,Boston,MA",29Nov,4.2,"The Ritz-Carlton, Boston","Rs64,691","Rs41,934",5 stars
"10 Avery St,Boston,MA",30Nov,4.2,"The Ritz-Carlton, Boston","Rs64,691","Rs38,034",5 stars
"10 Avery St,Boston,MA",01-Dec,4.2,"The Ritz-Carlton, Boston","Rs64,691","Rs29,582",5 stars
"10 Avery St,Boston,MA",2Dec,4.2,"The Ritz-Carlton, Boston","Rs64,691","Rs29,582",5 stars
"10 Avery St,Boston,MA",3Dec,4.2,"The Ritz-Carlton, Boston","Rs64,691","Rs32,183",5 stars
"10 Avery St,Boston,MA",4Dec,4.2,"The Ritz-Carlton, Boston","Rs64,691","Rs38,683",5 stars
"10 Avery St,Boston,MA",5Dec,4.2,"The Ritz-Carlton, Boston","Rs64,691","Rs38,683",5 stars
"10 Avery St,Boston,MA",6Dec,4.2,"The Ritz-Carlton, Boston","Rs64,691","Rs46,161",5 stars
